Username,Email,Gender,Birthdate,Club Name
leeashley,tamaramorrison@hotmail.com,M,1/3/45,Chelsea
lyonspeter,deborah64@gmail.com,M,2/26/82,Arsenal
monica23,danny30@yahoo.com,M,4/20/30,Liverpool
perezbilly,epetersen@yahoo.com,F,7/12/88,Portsmouth
jessicajohnson,aaronhopkins@hotmail.com,F,8/16/22,Liverpool
cumarana,cumarana@icloud.com,M,1/1/90,Everton
sjmuir,sjmuir@me.com,F,2/1/98,Fulham
facet,facet@yahoo.com,F,3/4/78,Huddersfield Town
rafasgj,rafasgj@live.com,M,2/5/80,Hull City
falcao,falcao@yahoo.com,M,1/7/00,Ipswich Town
cfhsoft,cfhsoft@optonline.net,F,8/16/22,Leeds United
jfmulder,jfmulder@comcast.net,F,1/3/45,Leicester City
melnik,melnik@optonline.net,F,2/26/82,Liverpool
jonadab,jonadab@msn.com,M,4/20/30,Manchester City
uraeus,uraeus@optonline.net,M,7/12/88,Manchester United
sriha,sriha@yahoo.com,M,8/16/22,Middlesbrough
gozer,gozer@gmail.com,M,1/1/90,Newcastle United
boftx,boftx@msn.com,M,2/1/98,Norwich City
animats,animats@live.com,M,1/3/45,Blackpool
flavell,flavell@live.com,F,2/26/82,Bolton Wanderers
esokullu,esokullu@yahoo.ca,M,4/20/30,AFC Bournemouth
storerm,storerm@optonline.net,M,7/12/88,Bradford City
bflong,bflong@att.net,M,8/16/22,Brentford
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
