Username,Email,Gender,Birthdate,Club Name
leeashley,tamaramorrison@hotmail.com,M,"Wednesday, January 3, 1945",Chelsea
lyonspeter,deborah64@gmail.com,M,"Friday, February 26, 1982",Arsenal
monica23,danny30@yahoo.com,M,"Sunday, April 20, 1930",Liverpool
perezbilly,epetersen@yahoo.com,F,"Tuesday, July 12, 1988",Portsmouth
jessicajohnson,aaronhopkins@hotmail.com,F,"Tuesday, August 16, 2022",Liverpool
cumarana,cumarana@icloud.com,M,"Monday, January 1, 1990",Everton
sjmuir,sjmuir@me.com,F,"Sunday, February 1, 1998",Fulham
facet,facet@yahoo.com,F,"Saturday, March 4, 1978",Huddersfield Town
rafasgj,rafasgj@live.com,M,"Tuesday, February 5, 1980",Hull City
falcao,falcao@yahoo.com,M,"Friday, January 7, 2000",Ipswich Town
cfhsoft,cfhsoft@optonline.net,F,"Tuesday, August 16, 2022",Leeds United
jfmulder,jfmulder@comcast.net,F,"Wednesday, January 3, 1945",Leicester City
melnik,melnik@optonline.net,F,"Friday, February 26, 1982",Liverpool
jonadab,jonadab@msn.com,M,"Sunday, April 20, 1930",Manchester City
uraeus,uraeus@optonline.net,M,"Tuesday, July 12, 1988",Manchester United
sriha,sriha@yahoo.com,M,"Tuesday, August 16, 2022",Middlesbrough
gozer,gozer@gmail.com,M,"Monday, January 1, 1990",Newcastle United
boftx,boftx@msn.com,M,"Sunday, February 1, 1998",Norwich City
animats,animats@live.com,M,"Wednesday, January 3, 1945",Blackpool
flavell,flavell@live.com,F,"Friday, February 26, 1982",Bolton Wanderers
esokullu,esokullu@yahoo.ca,M,"Sunday, April 20, 1930",AFC Bournemouth
storerm,storerm@optonline.net,M,"Tuesday, July 12, 1988",Bradford City
bflong,bflong@att.net,M,"Tuesday, August 16, 2022",Brentford
